seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	94883684	94883773	90	*	X02095	5825	94883933	94984219	100287	+	159	upstream	159	ABCD3
chr1	95007257	95007362	106	*	X02097	2152	94994732	95007413	12682	-	0	inside	50	F3
chr1	95007445	95007456	12	*	X02098	2152	94994732	95007413	12682	-	31	upstream	31	F3
chr1	95285812	95285881	70	*	X02099	126969	95285898	95360803	74906	+	16	upstream	16	SLC44A3
chr1	95699855	95699974	120	*	X02102	25950	95699711	95712781	13071	+	0	inside	143	RWDD3
chr1	97186988	97187107	120	*	X02105	58155	97187175	97280605	93431	+	67	upstream	67	PTBP2
chr1	98386302	98386406	105	*	X02108	1806	97543300	98386615	843316	-	0	inside	208	DPYD
chr1	98386718	98386852	135	*	X02109	1806	97543300	98386615	843316	-	102	upstream	102	DPYD
chr1	98387292	98387411	120	*	X02110	1806	97543300	98386615	843316	-	676	upstream	676	DPYD
chr1	98511287	98511481	195	*	X02112	100616452	98510799	98510907	109	-	379	upstream	379	MIR2682
chr1	98516105	98516224	120	*	X02114	400765	98453556	98515249	61694	-	855	upstream	855	MIR137HG
chr1	98516282	98516370	89	*	X02115	400765	98453556	98515249	61694	-	1032	upstream	1032	MIR137HG
chr1	99469815	99469844	30	*	X02117	100129620	99469832	99614408	144577	+	0	overlapStart	0	LOC100129620
chr1	99470704	99470808	105	*	X02118	163404	99355801	99470449	114649	-	254	upstream	254	PLPPR5
chr1	99729812	99729901	90	*	X02119	9890	99729848	99775138	45291	+	0	overlapStart	0	PLPPR4
chr1	99729947	99730156	210	*	X02120	9890	99729848	99775138	45291	+	0	inside	98	PLPPR4
chr1	100315725	100315919	195	*	X02123	178	100315640	100389579	73940	+	0	inside	84	AGL
chr1	100503569	100503673	105	*	X02125	64645	100503789	100548929	45141	+	115	upstream	115	MFSD14A
chr1	100503872	100503991	120	*	X02126	64645	100503789	100548929	45141	+	0	inside	82	MFSD14A
chr1	100598879	100598968	90	*	X02128	54482	100598706	100616054	17349	+	0	inside	172	TRMT13
chr1	100598879	100598968	90	*	X02128	163786	100549102	100598511	49410	-	367	upstream	367	SASS6
chr1	103574040	103574294	255	*	X02139	1301	103342023	103574052	232030	-	0	overlapStart	0	COL11A1
chr1	104067914	104067958	45	*	X02140	55599	104068578	104097859	29282	+	619	upstream	619	RNPC3
chr1	104068272	104068288	17	*	X02141	55599	104068578	104097859	29282	+	289	upstream	289	RNPC3
chr1	107599062	107599211	150	*	X02142	55170	107599267	107601916	2650	+	55	upstream	55	PRMT6
chr1	107682567	107682776	210	*	X02143	22854	107682629	108024475	341847	+	0	overlapStart	0	NTNG1
chr1	109102411	109102515	105	*	X02146	284611	109102971	109181949	78979	+	455	upstream	455	FAM102B
chr1	109102523	109102579	57	*	X02147	284611	109102971	109181949	78979	+	391	upstream	391	FAM102B
chr1	109235102	109235206	105	*	X02148	55119	109234932	109244422	9491	+	0	inside	169	PRPF38B
chr1	109289247	109289368	122	*	X02151	6814	109289285	109352148	62864	+	0	overlapStart	0	STXBP3
chr1	109505852	109505971	120	*	X02153	23155	109472130	109506121	33992	-	0	inside	149	CLCC1
chr1	109505852	109505971	120	*	X02153	254268	109358520	109506121	147602	-	0	inside	149	AKNAD1
chr1	109584986	109585060	75	*	X02155	22911	109512838	109584850	72013	-	135	upstream	135	WDR47
chr1	109633509	109633628	120	*	X02156	56900	109633403	109639554	6152	+	0	inside	105	TMEM167B
chr1	109940488	109940592	105	*	X02159	6272	109852188	109940563	88376	-	0	overlapStart	0	SORT1
chr1	109968808	109968927	120	*	X02160	5686	109941653	109969108	27456	-	0	inside	180	PSMA5
chr1	109969981	109970070	90	*	X02161	5686	109941653	109969108	27456	-	872	upstream	872	PSMA5
chr1	110025564	110025596	33	*	X02164	127002	110026561	110035420	8860	+	964	upstream	964	ATXN7L2
chr1	110026407	110026418	12	*	X02165	127002	110026561	110035420	8860	+	142	upstream	142	ATXN7L2
chr1	110026533	110026616	84	*	X02166	127002	110026561	110035420	8860	+	0	overlapStart	0	ATXN7L2
chr1	110026658	110026942	285	*	X02167	127002	110026561	110035420	8860	+	0	inside	96	ATXN7L2
chr1	110051952	110052086	135	*	X02172	57463	110049446	110052336	2891	-	0	inside	249	AMIGO1
chr1	110052713	110052862	150	*	X02173	57463	110049446	110052336	2891	-	376	upstream	376	AMIGO1
chr1	110197213	110197317	105	*	X02178	2946	110198698	110226619	27922	+	1380	upstream	1380	GSTM2
chr1	110197213	110197317	105	*	X02178	2948	110198698	110208123	9426	+	1380	upstream	1380	GSTM4
chr1	110453174	110453398	225	*	X02182	1435	110453233	110473616	20384	+	0	overlapStart	0	CSF1
chr1	110527607	110527771	165	*	X02186	10768	110527387	110566364	38978	+	0	inside	219	AHCYL1
chr1	110613335	110613340	6	*	X02192	257	110602997	110613322	10326	-	12	upstream	12	ALX3
chr1	110613390	110613454	65	*	X02193	257	110602997	110613322	10326	-	67	upstream	67	ALX3
chr1	110692141	110692365	225	*	X02201	388662	110693132	110744823	51692	+	766	upstream	766	SLC6A17
chr1	110692891	110693025	135	*	X02202	388662	110693132	110744823	51692	+	106	upstream	106	SLC6A17
chr1	110752911	110753045	135	*	X02205	3749	110753336	110776674	23339	+	290	upstream	290	KCNC4
chr1	110753166	110753465	300	*	X02206	3749	110753336	110776674	23339	+	0	overlapStart	0	KCNC4
chr1	110881912	110882061	150	*	X02207	64783	110881945	110889303	7359	+	0	overlapStart	0	RBM15
chr1	110881912	110882061	150	*	X02207	440600	110828999	110881793	52795	-	118	upstream	118	RBM15-AS1
chr1	111682356	111682475	120	*	X02213	10390	111682249	111727724	45476	+	0	inside	106	CEPT1
chr1	111683074	111683358	285	*	X02214	128338	111659954	111682838	22885	-	235	upstream	235	DRAM2
chr1	111746707	111746870	164	*	X02217	79961	111728591	111747160	18570	-	0	inside	289	DENND2D
chr1	111889343	111889417	75	*	X02219	128344	111889195	111895639	6445	+	0	inside	147	PIFO
chr1	111991558	111991707	150	*	X02220	515	111991462	112004525	13064	+	0	inside	95	ATP5PB
chr1	111991558	111991707	150	*	X02220	79084	111982512	111991830	9319	-	0	inside	122	WDR77
chr1	111991723	111991857	135	*	X02221	515	111991462	112004525	13064	+	0	inside	260	ATP5PB
chr1	111991723	111991857	135	*	X02221	79084	111982512	111991830	9319	-	0	overlapStart	0	WDR77
chr1	111992293	111992457	165	*	X02222	79084	111982512	111991830	9319	-	462	upstream	462	WDR77
chr1	111992470	111992604	135	*	X02223	79084	111982512	111991830	9319	-	639	upstream	639	WDR77
chr1	112280922	112281071	150	*	X02227	100506343	112282463	112290420	7958	+	1391	upstream	1391	INKA2-AS1
chr1	112282347	112282436	90	*	X02228	100506343	112282463	112290420	7958	+	26	upstream	26	INKA2-AS1
chr1	112298859	112299008	150	*	X02231	55924	112264686	112298419	33734	-	439	upstream	439	INKA2
chr1	112532993	112533187	195	*	X02233	643355	112533190	112541463	8274	+	2	upstream	2	LINC01750
chr1	112532993	112533187	195	*	X02233	3752	112318454	112531777	213324	-	1215	upstream	1215	KCND3
chr1	112533397	112533516	120	*	X02234	643355	112533190	112541463	8274	+	0	inside	206	LINC01750
chr1	112533397	112533516	120	*	X02234	3752	112318454	112531777	213324	-	1619	upstream	1619	KCND3
chr1	112938562	112938636	75	*	X02235	55917	112938800	113003786	64987	+	163	upstream	163	CTTNBP2NL
chr1	112939087	112939266	180	*	X02236	55917	112938800	113003786	64987	+	0	inside	286	CTTNBP2NL
chr1	113007989	113008071	83	*	X02238	7482	113010040	113063910	53871	+	1968	upstream	1968	WNT2B
chr1	113161435	113161539	105	*	X02245	829	113162075	113214241	52167	+	535	upstream	535	CAPZA1
chr1	113216788	113216907	120	*	X02246	4343	113217048	113243368	26321	+	140	upstream	140	MOV10
chr1	113217234	113217458	225	*	X02247	4343	113217048	113243368	26321	+	0	inside	185	MOV10
chr1	113257858	113257926	69	*	X02252	333926	113252616	113257950	5335	-	0	inside	23	PPM1J
chr1	113258424	113258528	105	*	X02253	333926	113252616	113257950	5335	-	473	upstream	473	PPM1J
chr1	113258533	113258592	60	*	X02254	333926	113252616	113257950	5335	-	582	upstream	582	PPM1J
chr1	113261644	113261727	84	*	X02255	284467	113263189	113269856	6668	+	1461	upstream	1461	TAFA3
chr1	113500014	113500178	165	*	X02260	6566	113454470	113498975	44506	-	1038	upstream	1038	SLC16A1
chr1	114447450	114447689	240	*	X02264	64858	114447915	114456708	8794	+	225	upstream	225	DCLRE1B
chr1	114447450	114447689	240	*	X02264	10717	114437371	114447741	10371	-	0	inside	51	AP4B1
chr1	114521961	114522050	90	*	X02267	56944	114522030	114524876	2847	+	0	overlapStart	0	OLFML3
chr1	115053443	115053562	120	*	X02275	51592	114935399	115053781	118383	-	0	inside	218	TRIM33
chr1	115053668	115053721	54	*	X02276	51592	114935399	115053781	118383	-	0	inside	59	TRIM33
chr1	115213313	115213374	62	*	X02278	163259	115064017	115213044	149028	-	268	upstream	268	DENND2C
chr1	115259303	115259512	210	*	X02280	4893	115247085	115259515	12431	-	0	inside	2	NRAS
chr1	115396712	115396718	7	*	X02282	6847	115397455	115537990	140536	+	736	upstream	736	SYCP1
chr1	115631749	115631898	150	*	X02287	10100	115590633	115632121	41489	-	0	inside	222	TSPAN2
chr1	115881133	115881237	105	*	X02289	4803	115828537	115880857	52321	-	275	upstream	275	NGF
chr1	115881616	115881825	210	*	X02290	4803	115828537	115880857	52321	-	758	upstream	758	NGF
chr1	116184139	116184307	169	*	X02291	81839	116184574	116240845	56272	+	266	upstream	266	VANGL1
chr1	117113223	117113450	228	*	X02298	965	117057156	117113715	56560	-	0	inside	264	CD58
chr1	117113616	117113750	135	*	X02299	965	117057156	117113715	56560	-	0	overlapStart	0	CD58
chr1	117210015	117210224	210	*	X02300	3321	117117020	117210377	93358	-	0	inside	152	IGSF3
chr1	117210300	117210479	180	*	X02301	3321	117117020	117210377	93358	-	0	overlapStart	0	IGSF3
chr1	117452354	117452503	150	*	X02304	5738	117452689	117532972	80284	+	185	upstream	185	PTGFRN
chr1	117452609	117452713	105	*	X02305	5738	117452689	117532972	80284	+	0	overlapStart	0	PTGFRN
chr1	117452759	117452878	120	*	X02306	5738	117452689	117532972	80284	+	0	inside	69	PTGFRN
chr1	117602368	117602472	105	*	X02307	8458	117602949	117645491	42543	+	476	upstream	476	TTF2
chr1	117664003	117664242	240	*	X02308	80263	117653677	117664411	10735	-	0	inside	168	TRIM45
chr1	117664513	117664557	45	*	X02309	80263	117653677	117664411	10735	-	101	upstream	101	TRIM45
chr1	117909947	117910051	105	*	X02310	10905	117910085	118068320	158236	+	33	upstream	33	MAN1A2
chr1	118148880	118148999	120	*	X02311	54855	118148604	118171011	22408	+	0	inside	275	TENT5C
chr1	119532455	119532574	120	*	X02316	6913	119425666	119532179	106514	-	275	upstream	275	TBX15
chr1	120190149	120190253	105	*	X02330	90874	120162000	120190390	28391	-	0	inside	136	ZNF697
chr1	145438139	145438258	120	*	X02339	10628	145438462	145442628	4167	+	203	upstream	203	TXNIP
chr1	145471958	145472032	75	*	X02341	84265	145456236	145470387	14152	-	1570	upstream	1570	POLR3GL
chr1	145472312	145472390	79	*	X02342	84265	145456236	145470387	14152	-	1924	upstream	1924	POLR3GL
chr1	145475663	145475797	135	*	X02346	128077	145477085	145499091	22007	+	1287	upstream	1287	LIX1L
chr1	145476926	145477006	81	*	X02347	128077	145477085	145499091	22007	+	78	upstream	78	LIX1L
chr1	145477217	145477306	90	*	X02348	128077	145477085	145499091	22007	+	0	inside	131	LIX1L
chr1	145516017	145516136	120	*	X02349	8799	145516165	145523732	7568	+	28	upstream	28	PEX11B
chr1	145516345	145516584	240	*	X02350	8799	145516165	145523732	7568	+	0	inside	179	PEX11B
chr1	145548730	145549044	315	*	X02351	148741	145549209	145568526	19318	+	164	upstream	164	ANKRD35
chr1	145549090	145549236	147	*	X02352	148741	145549209	145568526	19318	+	0	overlapStart	0	ANKRD35
chr1	145549497	145549616	120	*	X02353	148741	145549209	145568526	19318	+	0	inside	287	ANKRD35
chr1	145575582	145575686	105	*	X02357	10401	145575290	145586546	11257	+	0	inside	291	PIAS3
chr1	145610447	145610566	120	*	X02361	27246	145611036	145688776	77741	+	469	upstream	469	RNF115
chr1	146643738	146643842	105	*	X02371	5565	146626685	146644129	17445	-	0	inside	286	PRKAB2
chr1	146714539	146714658	120	*	X02372	9557	146714291	146767447	53157	+	0	inside	247	CHD1L
chr1	147013168	147013202	35	*	X02374	607	147013182	147098015	84834	+	0	overlapStart	0	BCL9
chr1	147245597	147245779	183	*	X02383	2702	147228332	147245484	17153	-	112	upstream	112	GJA5
chr1	147485348	147485437	90	*	X02384	728939	145924388	147484331	1559944	-	1016	upstream	1016	NA
chr1	147807155	147807289	135	*	X02391	100847044	147806603	147806678	76	-	476	upstream	476	MIR5087
chr1	148556322	148556441	120	*	X02395	284565	148558188	148596267	38080	+	1746	upstream	1746	NBPF15
chr1	149857449	149857583	135	*	X02400	8338	149858525	149858961	437	+	941	upstream	941	H2AC20
chr1	149859950	149860099	150	*	X02401	8349	149856010	149858232	2223	-	1717	upstream	1717	H2BC21
chr1	149859950	149860099	150	*	X02401	317772	149859019	149859466	448	-	483	upstream	483	H2AC21
chr1	149860910	149860969	60	*	X02402	317772	149859019	149859466	448	-	1443	upstream	1443	H2AC21
chr1	149889065	149889169	105	*	X02406	9900	149874872	149889434	14563	-	0	inside	264	SV2A
chr1	149889350	149889469	120	*	X02407	9900	149874872	149889434	14563	-	0	overlapStart	0	SV2A
chr1	149982318	149982512	195	*	X02408	56957	149912232	149982686	70455	-	0	inside	173	OTUD7B
chr1	150121516	150121635	120	*	X02410	51177	150121767	150131825	10059	+	131	upstream	131	PLEKHO1
chr1	150229490	150229624	135	*	X02419	23632	150230218	150237480	7263	+	593	upstream	593	CA14
chr1	150241258	150241392	135	*	X02424	51107	150237799	150241609	3811	-	0	inside	216	APH1A
chr1	150241985	150242074	90	*	X02425	51107	150237799	150241609	3811	-	375	upstream	375	APH1A
chr1	150254893	150255012	120	*	X02426	148523	150254953	150259501	4549	+	0	overlapStart	0	CIART
chr1	150294193	150294432	240	*	X02428	9129	150293928	150325704	31777	+	0	inside	264	PRPF3
chr1	150336267	150336416	150	*	X02429	23248	150336990	150449041	112052	+	573	upstream	573	RPRD2
chr1	150336972	150337106	135	*	X02430	23248	150336990	150449041	112052	+	0	overlapStart	0	RPRD2
chr1	150602249	150602338	90	*	X02435	2029	150594599	150602098	7500	-	150	upstream	150	ENSA
chr1	150669446	150669580	135	*	X02437	55204	150618701	150669672	50972	-	0	inside	91	GOLPH3L
chr1	150899041	150899265	225	*	X02440	9869	150898815	150937220	38406	+	0	inside	225	SETDB1
chr1	150947397	150947456	60	*	X02445	29956	150937649	150947479	9831	-	0	inside	22	CERS2
chr1	150947547	150947666	120	*	X02446	29956	150937649	150947479	9831	-	67	upstream	67	CERS2
chr1	150981256	150981360	105	*	X02447	58497	150980973	151008189	27217	+	0	inside	282	PRUNE1
chr1	150981256	150981360	105	*	X02447	55793	150969301	150980854	11554	-	401	upstream	401	MINDY1
chr1	151020162	151020341	180	*	X02448	54964	151020259	151023871	3613	+	0	overlapStart	0	C1orf56
chr1	151030764	151030913	150	*	X02449	10962	151032151	151040973	8823	+	1237	upstream	1237	MLLT11
chr1	151031052	151031171	120	*	X02450	10962	151032151	151040973	8823	+	979	upstream	979	MLLT11
chr1	151031622	151031831	210	*	X02451	10962	151032151	151040973	8823	+	319	upstream	319	MLLT11
chr1	151031622	151031831	210	*	X02451	56882	151023447	151032125	8679	-	0	inside	293	CDC42SE1
chr1	151032267	151032416	150	*	X02452	10962	151032151	151040973	8823	+	0	inside	115	MLLT11
chr1	151032267	151032416	150	*	X02452	56882	151023447	151032125	8679	-	141	upstream	141	CDC42SE1
chr1	151137765	151137989	225	*	X02455	79005	151138498	151142773	4276	+	508	upstream	508	SCNM1
chr1	151139329	151139448	120	*	X02456	388695	151132224	151138424	6201	-	904	upstream	904	LYSMD1
chr1	151162241	151162480	240	*	X02457	6944	151148776	151162689	13914	-	0	inside	208	VPS72
chr1	151162676	151162780	105	*	X02458	6944	151148776	151162689	13914	-	0	overlapStart	0	VPS72
chr1	151227315	151227449	135	*	X02463	5710	151227197	151239954	12758	+	0	inside	117	PSMD4
chr1	151253838	151253937	100	*	X02464	57592	151254094	151264381	10288	+	156	upstream	156	ZNF687
chr1	151300179	151300328	150	*	X02468	5298	151264273	151300191	35919	-	0	overlapStart	0	PI4KB
chr1	151320028	151320053	26	*	X02470	5993	151313116	151319769	6654	-	258	upstream	258	RFX5
chr1	151344939	151345028	90	*	X02471	8991	151336778	151345210	8433	-	0	inside	181	SELENBP1
chr1	151345194	151345313	120	*	X02472	8991	151336778	151345210	8433	-	0	overlapStart	0	SELENBP1
chr1	151431698	151431724	27	*	X02477	23126	151375200	151431941	56742	-	0	inside	216	POGZ
chr1	151484108	151484227	120	*	X02480	57530	151483862	151511167	27306	+	0	inside	245	CGN
chr1	151688869	151689018	150	*	X02489	11189	151672534	151689290	16757	-	0	inside	271	CELF3
chr1	151689043	151689327	285	*	X02490	11189	151672534	151689290	16757	-	0	overlapStart	0	CELF3
chr1	151689589	151689708	120	*	X02491	11189	151672534	151689290	16757	-	298	upstream	298	CELF3
chr1	151735536	151735745	210	*	X02493	51686	151735445	151743806	8362	+	0	inside	90	OAZ3
chr1	151735536	151735745	210	*	X02493	65005	151732123	151736040	3918	-	0	inside	294	MRPL9
chr1	151736856	151736888	33	*	X02494	65005	151732123	151736040	3918	-	815	upstream	815	MRPL9
chr1	151762652	151763000	349	*	X02495	11022	151742583	151763010	20428	-	0	inside	9	TDRKH
chr1	151763718	151763927	210	*	X02496	11022	151742583	151763010	20428	-	707	upstream	707	TDRKH
chr1	151809497	151809616	120	*	X02497	100132111	151810945	151816641	5697	+	1328	upstream	1328	C2CD4D-AS1
chr1	151812783	151812902	120	*	X02499	100191040	151810339	151813033	2695	-	0	inside	130	C2CD4D
chr1	151966328	151966492	165	*	X02503	6281	151955386	151966714	11329	-	0	inside	221	S100A10
chr1	152009618	152009654	37	*	X02505	6282	152004982	152009511	4530	-	106	upstream	106	S100A11
chr1	153508453	153508499	47	*	X02514	6277	153507076	153508717	1642	-	0	inside	217	S100A6
chr1	153585133	153585267	135	*	X02516	140576	153579367	153585514	6148	-	0	inside	246	S100A16
chr1	153585463	153585530	68	*	X02517	140576	153579367	153585514	6148	-	0	overlapStart	0	S100A16
chr1	153599737	153599856	120	*	X02518	6271	153600873	153604513	3641	+	1016	upstream	1016	S100A1
chr1	153606892	153607056	165	*	X02519	6284	153591276	153606568	15293	-	323	upstream	323	S100A13
chr1	153631372	153631536	165	*	X02520	23557	153631130	153634328	3199	+	0	inside	241	SNAPIN
chr1	153643085	153643219	135	*	X02521	3608	153634264	153643504	9241	-	0	inside	284	ILF2
chr1	153650514	153650554	41	*	X02522	4881	153651164	153666468	15305	+	609	upstream	609	NPR1
chr1	153651037	153651156	120	*	X02523	4881	153651164	153666468	15305	+	7	upstream	7	NPR1
chr1	153700064	153700333	270	*	X02526	65123	153700549	153746555	46007	+	215	upstream	215	INTS3
chr1	153700531	153700573	43	*	X02527	65123	153700549	153746555	46007	+	0	overlapStart	0	INTS3
chr1	153747720	153747914	195	*	X02530	11000	153747768	153752633	4866	+	0	overlapStart	0	SLC27A3
chr1	153895307	153895318	12	*	X02536	57459	153777203	153895451	118249	-	0	inside	132	GATAD2B
chr1	153919022	153919123	102	*	X02538	9909	153901977	153919154	17178	-	0	inside	30	DENND4B
chr1	153919592	153919711	120	*	X02539	9909	153901977	153919154	17178	-	437	upstream	437	DENND4B
chr1	153930917	153931021	105	*	X02541	200186	153920148	153931132	10985	-	0	inside	110	CRTC2
chr1	153931397	153931467	71	*	X02542	200186	153920148	153931132	10985	-	264	upstream	264	CRTC2
chr1	153931487	153931696	210	*	X02543	200186	153920148	153931132	10985	-	354	upstream	354	CRTC2
chr1	153940753	153940992	240	*	X02546	27173	153931575	153940660	9086	-	92	upstream	92	SLC39A1
chr1	153958483	153958572	90	*	X02547	5872	153954093	153958853	4761	-	0	inside	280	RAB13
chr1	153958787	153958836	50	*	X02548	5872	153954093	153958853	4761	-	0	inside	16	RAB13
chr1	153958902	153958921	20	*	X02549	5872	153954093	153958853	4761	-	48	upstream	48	RAB13
chr1	154192605	154192739	135	*	X02552	9898	154192655	154243986	51332	+	0	overlapStart	0	UBAP2L
chr1	154192755	154192889	135	*	X02553	9898	154192655	154243986	51332	+	0	inside	99	UBAP2L
chr1	154193338	154193669	332	*	X02554	25912	154179183	154193273	14091	-	64	upstream	64	C1orf43
chr1	154193955	154194089	135	*	X02555	25912	154179183	154193273	14091	-	681	upstream	681	C1orf43
chr1	154297435	154297719	285	*	X02557	57198	154298036	154323780	25745	+	316	upstream	316	ATP8B2
chr1	154298320	154298484	165	*	X02558	57198	154298036	154323780	25745	+	0	inside	283	ATP8B2
chr1	154377939	154378000	62	*	X02566	3570	154377669	154441926	64258	+	0	inside	269	IL6R
chr1	154475523	154475672	150	*	X02567	126669	154451954	154474526	22573	-	996	upstream	996	SHE
chr1	154530850	154530941	92	*	X02569	55585	154521051	154531120	10070	-	0	inside	178	UBE2Q1
chr1	154531676	154531783	108	*	X02570	55585	154521051	154531120	10070	-	555	upstream	555	UBE2Q1
chr1	154540375	154540494	120	*	X02571	1141	154540257	154552353	12097	+	0	inside	117	CHRNB2
chr1	154600105	154600209	105	*	X02574	103	154554534	154600456	45923	-	0	inside	246	ADAR
chr1	154600315	154600419	105	*	X02575	103	154554534	154600456	45923	-	0	inside	36	ADAR
chr1	154945249	154945422	174	*	X02584	1163	154947118	154951725	4608	+	1695	upstream	1695	CKS1B
chr1	154946293	154946412	120	*	X02585	1163	154947118	154951725	4608	+	705	upstream	705	CKS1B
chr1	154946293	154946412	120	*	X02585	100423020	154948169	154948259	91	+	1756	upstream	1756	MIR4258
chr1	154946488	154946742	255	*	X02586	1163	154947118	154951725	4608	+	375	upstream	375	CKS1B
chr1	154946488	154946742	255	*	X02586	100423020	154948169	154948259	91	+	1426	upstream	1426	MIR4258
chr1	154946488	154946742	255	*	X02586	6464	154934774	154946959	12186	-	0	inside	216	SHC1
chr1	154973590	154973709	120	*	X02589	51043	154975106	154991001	15896	+	1396	upstream	1396	ZBTB7B
chr1	154973755	154973904	150	*	X02590	51043	154975106	154991001	15896	+	1201	upstream	1201	ZBTB7B
chr1	154974075	154974194	120	*	X02591	51043	154975106	154991001	15896	+	911	upstream	911	ZBTB7B
chr1	154974285	154974464	180	*	X02592	51043	154975106	154991001	15896	+	641	upstream	641	ZBTB7B
chr1	154974805	154974967	163	*	X02593	51043	154975106	154991001	15896	+	138	upstream	138	ZBTB7B
chr1	154975199	154975364	166	*	X02594	51043	154975106	154991001	15896	+	0	inside	92	ZBTB7B
chr1	155023695	155023699	5	*	X02598	8751	155023422	155035252	11831	+	0	inside	272	ADAM15
chr1	155034317	155034436	120	*	X02602	1944	155036213	155060014	23802	+	1776	upstream	1776	EFNA3
chr1	155034317	155034436	120	*	X02602	1945	155036213	155042029	5817	+	1776	upstream	1776	EFNA4
chr1	155034632	155034681	50	*	X02603	1944	155036213	155060014	23802	+	1531	upstream	1531	EFNA3
chr1	155034632	155034681	50	*	X02603	1945	155036213	155042029	5817	+	1531	upstream	1531	EFNA4
chr1	155034724	155034736	13	*	X02604	1944	155036213	155060014	23802	+	1476	upstream	1476	EFNA3
chr1	155034724	155034736	13	*	X02604	1945	155036213	155042029	5817	+	1476	upstream	1476	EFNA4
chr1	155034840	155034959	120	*	X02605	1944	155036213	155060014	23802	+	1253	upstream	1253	EFNA3
chr1	155034840	155034959	120	*	X02605	1945	155036213	155042029	5817	+	1253	upstream	1253	EFNA4
chr1	155035140	155035244	105	*	X02606	1944	155036213	155060014	23802	+	968	upstream	968	EFNA3
chr1	155035140	155035244	105	*	X02606	1945	155036213	155042029	5817	+	968	upstream	968	EFNA4
chr1	155035502	155035606	105	*	X02607	1944	155036213	155060014	23802	+	606	upstream	606	EFNA3
chr1	155035502	155035606	105	*	X02607	1945	155036213	155042029	5817	+	606	upstream	606	EFNA4
chr1	155036520	155036654	135	*	X02608	100505666	155017668	155036467	18800	-	52	upstream	52	DCST1-AS1
chr1	155099024	155099143	120	*	X02623	1942	155100349	155107386	7038	+	1205	upstream	1205	EFNA1
chr1	155099264	155099383	120	*	X02624	1942	155100349	155107386	7038	+	965	upstream	965	EFNA1
chr1	155099865	155099984	120	*	X02625	1942	155100349	155107386	7038	+	364	upstream	364	EFNA1
chr1	155100629	155100733	105	*	X02626	1942	155100349	155107386	7038	+	0	inside	279	EFNA1
chr1	155108190	155108369	180	*	X02630	55974	155108288	155111334	3047	+	0	overlapStart	0	SLC50A1
chr1	155112824	155112943	120	*	X02632	54344	155112367	155112996	630	-	0	inside	52	DPM3
chr1	155145129	155145233	105	*	X02636	80128	155145421	155157447	12027	+	187	upstream	187	TRIM46
chr1	155145404	155145673	270	*	X02637	80128	155145421	155157447	12027	+	0	overlapStart	0	TRIM46
chr1	155145404	155145673	270	*	X02637	200185	155141884	155145804	3921	-	0	inside	130	KRTCAP2
chr1	155146154	155146258	105	*	X02638	200185	155141884	155145804	3921	-	349	upstream	349	KRTCAP2
chr1	155146389	155146963	575	*	X02639	200185	155141884	155145804	3921	-	584	upstream	584	KRTCAP2
chr1	155147244	155147393	150	*	X02640	200185	155141884	155145804	3921	-	1439	upstream	1439	KRTCAP2
chr1	155147469	155147693	225	*	X02641	200185	155141884	155145804	3921	-	1664	upstream	1664	KRTCAP2
chr1	155162822	155162842	21	*	X02642	4582	155158300	155162706	4407	-	115	upstream	115	MUC1
chr1	155163008	155163247	240	*	X02643	4582	155158300	155162706	4407	-	301	upstream	301	MUC1
chr1	155163008	155163247	240	*	X02643	693235	155164968	155165063	96	+	1720	upstream	1720	MIR92B
chr1	155163710	155163844	135	*	X02644	4582	155158300	155162706	4407	-	1003	upstream	1003	MUC1
chr1	155163710	155163844	135	*	X02644	693235	155164968	155165063	96	+	1123	upstream	1123	MIR92B
chr1	155164778	155164867	90	*	X02645	693235	155164968	155165063	96	+	100	upstream	100	MIR92B
chr1	155164943	155165107	165	*	X02646	693235	155164968	155165063	96	+	0	includeFeature	0	MIR92B
chr1	155177078	155177242	165	*	X02649	4580	155178490	155183624	5135	+	1247	upstream	1247	MTX1
chr1	155177855	155177869	15	*	X02650	4580	155178490	155183624	5135	+	620	upstream	620	MTX1
chr1	155178140	155178244	105	*	X02651	4580	155178490	155183624	5135	+	245	upstream	245	MTX1
chr1	155178398	155178517	120	*	X02652	4580	155178490	155183624	5135	+	0	overlapStart	0	MTX1
chr1	155216054	155216086	33	*	X02653	2629	155204239	155214653	10415	-	1400	upstream	1400	GBA
chr1	155216128	155216143	16	*	X02654	2629	155204239	155214653	10415	-	1474	upstream	1474	GBA
chr1	155216474	155216578	105	*	X02655	2629	155204239	155214653	10415	-	1820	upstream	1820	GBA
chr1	155224994	155225173	180	*	X02658	10712	155216996	155225274	8279	-	0	inside	100	FAM189B
chr1	155225234	155225383	150	*	X02659	10712	155216996	155225274	8279	-	0	overlapStart	0	FAM189B
chr1	155225576	155225680	105	*	X02660	10712	155216996	155225274	8279	-	301	upstream	301	FAM189B
chr1	155247663	155247767	105	*	X02663	1196	155232659	155247501	14843	-	161	upstream	161	CLK2
chr1	155293359	155293703	345	*	X02670	284618	155290251	155293938	3688	-	0	inside	234	RUSC1-AS1
chr1	155295033	155295137	105	*	X02671	284618	155290251	155293938	3688	-	1094	upstream	1094	RUSC1-AS1
